0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,error,error,error,error,error
51,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,error,error,error,error,error
52,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,error,error,error,error
53,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,vecch2,error,error,error
54,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,vecch2,vecch1,error,error
55,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,vecch2,vecch1,vecch1,error
56,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,vecch2,vecch1,vecch1,error
57,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch1,vecch1,vecch1
58,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch1,vecch1,vecch1
59,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch1,vecch1,vecch1
60,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,vecch1,vecch1,qcove1,qcove1,qcove1,qcove1,qcove1
61,,,,,,,,,,,,,,,,,,,,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch3,vecch2,vecch2,vecch1,vecch1,qcove1,qcove1,qcove1,qcove1,qcove1
62,,,,,,,,,,,,,,,,,,,,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch1,vecch1,qcove1,qcove1,qcove1,qcove1,qcove1
63,,,,,,,,,,,,,,,,,,,,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch1,vecch1,qcove1,qcove1,qcove1,qcove1,qcove1
64,,,,,,,,,,,,,,,,,,,,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch2,vecch1,vecch1,qcove1,qcove1,qcove1,qcove1,qcove1
65,,,,,,,,,,,,,,,,,,,,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,qcove1,qcove1,qcove1,qcove1,qcove1
66,,,,,,,,,,,,,,,,,,,,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,qcove1,qcove1,qcove1,qcove1,qcove1
67,,,,,,,,,,,,,,,,,,,,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1,vecch1
